State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Bharuch,Ankleshwar,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,800,1500,1200
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,FAQ,13/08/2025,2000,3000,2500
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,13/08/2025,2000,5000,3000
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,13/08/2025,2000,4000,3000
Haryana,Gurgaon,Gurgaon,"Bitter gourd",Other,FAQ,13/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,13/08/2025,1000,1400,1200
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,13/08/2025,1000,2000,1500
Haryana,Rewari,Kosli,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,1000,1000,1000
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,13/08/2025,5000,5500,5000
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,13/08/2025,4000,4600,4000
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,13/08/2025,4000,4500,4000
Kerala,Kollam,Sasthamkotta,Banana,Robusta,Medium,13/08/2025,1800,2200,2000
Kerala,Kollam,Sasthamkotta,Cowpea(Veg),Other,FAQ,13/08/2025,5000,5500,5200
Kerala,Kollam,Sasthamkotta,"Green Chilli",Other,FAQ,13/08/2025,16000,16500,16200
Kerala,Kottayam,Pampady,Brinjal,Brinjal,FAQ,13/08/2025,5000,6500,6000
Kerala,Kottayam,Pampady,Cabbage,Other,FAQ,13/08/2025,3200,3500,3300
Kerala,Kottayam,Pampady,Coconut,Coconut,FAQ,13/08/2025,6200,7000,6500
Kerala,Kottayam,Pampady,Drumstick,Other,FAQ,13/08/2025,3300,4000,3500
Kerala,Kottayam,Pampady,Potato,Other,FAQ,13/08/2025,3200,4500,3500
Kerala,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,13/08/2025,4400,4800,4600
Kerala,Kozhikode(Calicut),Mukkom,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,4600,5000,4700
Kerala,Kozhikode(Calicut),Mukkom,Ginger(Green),"Green Ginger",FAQ,13/08/2025,7800,8300,8000
Kerala,Kozhikode(Calicut),Mukkom,Pineapple,Other,Large,13/08/2025,6000,7000,6500
Kerala,Kozhikode(Calicut),Mukkom,Snakeguard,Snakeguard,FAQ,13/08/2025,4600,5000,4800
Kerala,Pathanamthitta,"Mezhuveli  VFPCK",Ginger(Green),"Green Ginger",FAQ,13/08/2025,12000,17000,15400
Kerala,Thiruvananthapuram,Parassala,Beetroot,Beetroot,FAQ,13/08/2025,3000,3200,3000
Kerala,Thiruvananthapuram,Parassala,Cowpea(Veg),"Cowpea (Veg)",FAQ,13/08/2025,6800,7000,6800
Kerala,Thiruvananthapuram,Parassala,Cucumbar(Kheera),Cucumbar,FAQ,13/08/2025,6000,6200,6000
Kerala,Thiruvananthapuram,Parassala,Pineapple,"Pine Apple",Medium,13/08/2025,4800,5000,4800
Kerala,Thiruvananthapuram,Parassala,Pumpkin,Pumpkin,FAQ,13/08/2025,2800,3000,2800
Kerala,Thiruvananthapuram,Parassala,Tapioca,Tapioca,FAQ,13/08/2025,3000,3200,3000
Punjab,Hoshiarpur,"Tanda Urmur",Apple,Other,Medium,13/08/2025,8000,9000,8500
Punjab,Hoshiarpur,"Tanda Urmur",Garlic,Other,FAQ,13/08/2025,10000,12000,11000
Punjab,Hoshiarpur,"Tanda Urmur",Onion,Other,FAQ,13/08/2025,1800,2200,2000
Punjab,Hoshiarpur,"Tanda Urmur",Tomato,Other,FAQ,13/08/2025,4500,5500,5000
Punjab,Ludhiana,Sahnewal,Cucumbar(Kheera),Cucumbar,FAQ,13/08/2025,1500,2000,2000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Banana,Other,Medium,13/08/2025,2700,3100,2900
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cabbage,Other,FAQ,13/08/2025,1200,1600,1400
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Cauliflower,Other,FAQ,13/08/2025,2800,3200,3000
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Mousambi(Sweet Lime)",Mosambi-Organic,Medium,13/08/2025,3800,4200,4000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Pineapple,Other,Medium,13/08/2025,4800,5200,5000
Tripura,"North Tripura",Dasda,"Bhindi(Ladies Finger)",Bhindi,FAQ,13/08/2025,3800,4000,3900
Tripura,"North Tripura",Dasda,Rice,Masuri,FAQ,13/08/2025,3300,3500,3400
"Uttar Pradesh",Badaun,Babrala,Maize,"Deshi Red",Non-FAQ,13/08/2025,1950,1970,1960
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,"Bhindi(Ladies Finger)",Other,FAQ,13/08/2025,2100,2150,2125
